gate_id,gate,required,evidence,status,blocking,next_action
G01,Parent Research Contract approved,status=approved,.pipeline/contracts/v9-forest-n3p.md,pass,no,none
G02,T06 cutpoint supplement reviewed,reviewed=true,.pipeline/contracts/v9-forest-n3p-t06-calibration-supplement.md,fail,yes,"Dr Sun review T06 supplement; if accepted, set reviewed:true and rerun formal T14 without --allow-unreviewed-cutpoints."
G03,Formal T14 scale,>=100 queries per bucket and >=5 seeds,"query_count=300; seed_count=5; queries_per_bucket={""Easy"": 100, ""Complex"": 100, ""Extreme"": 100}",pass,no,none
G04,Official method coverage,6 official methods available,method_count=6; unavailable={},pass,no,resolve missing baseline or revise T14 scope
G05,Runner exceptions,method_exception_total=0,method_exception_total=0,pass,no,fix runner/method exception and rerun
G06,Collision violations,collision_violation_total=0,collision_violation_total=0,pass,no,reject colliding outputs or fix planner and rerun
G07-Complex,Complex Contract bucket verdict,"time reduction>=50%, success drop<=2pp, path inflation<=5%, F-N3P collisions=0","{""status"": ""pass"", ""median_time_reduction"": 0.9193116080979239, ""success_drop_pp"": -16.000000000000004, ""median_path_inflation_ratio"": 2.220446049250313e-16, ""checks"": {""median_time_reduction_ge_50pct"": true, ""success_drop_le_2pp"": true, ""median_path_inflation_le_5pct"": true, ""collision_violations_zero"": true}}",pass,no,none
G07-Extreme,Extreme Contract bucket verdict,"time reduction>=50%, success drop<=2pp, path inflation<=5%, F-N3P collisions=0","{""status"": ""pass"", ""median_time_reduction"": 0.9121339857266536, ""success_drop_pp"": -15.000000000000002, ""median_path_inflation_ratio"": 0.0013441075439655226, ""checks"": {""median_time_reduction_ge_50pct"": true, ""success_drop_le_2pp"": true, ""median_path_inflation_le_5pct"": true, ""collision_violations_zero"": true}}",pass,no,none
G08,F-N3P implementation variant accepted,commit_verified_rs_segments=true and k_neighbors=20 accepted as formal method config,commit_verified_rs_segments=True; k_neighbors=20; k sweep analysis=.pipeline/experiments/20260620_t14_k20_collisionguard_analysis,needs_human_review,yes,Dr Sun decide whether this is the formal F-N3P(KNN) config or only a candidate variant.
G09,MD-DQN baseline interpretation accepted,MD-DQN historical checkpoint/adaptor allowed as T14 baseline evidence,md_dqn_source_dir=/home/ubuntu/DQN10/2_experiment; md_dqn_checkpoint_path=/home/ubuntu/DQN10/2_experiment/ugv_dqn/outputs/2026-05-12_train_load_external_demo_smoke/models/realmap_a/mlp-dqn.pt; summary=.pipeline/experiments/20260620_t14_candidate_6method_fullscale_rs_k20_collisionguard/summary_by_method_bucket.csv,needs_human_review,yes,Dr Sun decide formal baseline vs adapter smoke/history-only baseline.
G10,Programmatic formal verdict,formal_acceptance=true from runner,"status=candidate_or_smoke; formal_acceptance=False; preflight_warnings=[""T06 cutpoint supplement is not reviewed:true: .pipeline/contracts/v9-forest-n3p-t06-calibration-supplement.md""]",fail,yes,"After G02/G08/G09 human decisions, rerun formal command without unreviewed override to produce formal_acceptance=true."
