arxiv_id,title,year,authors_short,direction_tag
2601.01910,MMP-A*: Multimodal Perception Enhanced Incremental Heuristic Search on Path Planning,2026,Minh Hieu Ha et al.,G_subgoal_optimization
2601.03519,A Vision-Language-Action Model with Visual Prompt for OFF-Road Autonomous Driving,2026,Liangdong Zhang et al.,O_dense_forest_narrow_passage
2601.07434,LOONG: Online Time-Optimal Autonomous Flight for MAVs in Cluttered Environments,2026,Xin Guan et al.,I_corridor_planning
2601.18548,Fast and Safe Trajectory Optimization for Mobile Manipulators With Neural Configuration Space Distance Field,2026,Yulin Li et al.,B_trajectory_optimization
2601.19972,Just in time Informed Trees: Manipulability-Aware Asymptotically Optimized Motion Planning,2026,Kuanqi Cai et al.,Q_informed_sampling
2601.20054,Game-Theoretic Autonomous Driving: A Graphs of Convex Sets Approach,2026,Nikolaj Käfer et al.,I_corridor_planning
2601.21027,Track-centric Iterative Learning for Global Trajectory Optimization in Autonomous Racing,2026,Youngim Nam et al.,L_learning_path_optimization
2602.00992,Geometry-Aware Sampling-Based Motion Planning on Riemannian Manifolds,2026,Phone Thiha Kyaw et al.,N_path_repair
2602.01189,SPOT: Spatio-Temporal Obstacle-free Trajectory Planning for UAVs in an Unknown Dynamic Environment,2026,Astik Srivastava et al.,I_corridor_planning
2602.02826,Fast Near Time-Optimal Motion Planning for Holonomic Vehicles in Structured Environments,2026,Louis Callens et al.,I_corridor_planning
2602.09714,Fast Motion Planning for Non-Holonomic Mobile Robots via a Rectangular Corridor Representation of Structured Environments,2026,Alejandro Gonzalez-Garcia et al.,I_corridor_planning
2602.10365,Solving Geodesic Equations with Composite Bernstein Polynomials for Trajectory Planning,2026,Nick Gorman et al.,A_path_smoothing;K_dubins_reeds_shepp
2602.12096,Multi Graph Search for High-Dimensional Robot Motion Planning,2026,Itamar Mishani et al.,E_bounded_suboptimal_search
2602.14726,ManeuverNet: A Soft Actor-Critic Framework for Precise Maneuvering of Double-Ackermann-Steering Robots with Optimized Reward Functions,2026,Kohio Deflesselle et al.,C_elastic_band
2602.16758,Smooth trajectory generation and hybrid B-splines-Quaternions based tool path interpolation for a 3T1R parallel kinematic milling robot,2026,Sina Akhbari et al.,B_trajectory_optimization
2602.20225,FACTO: Function-space Adaptive Constrained Trajectory Optimization for Robotic Manipulators,2026,Yichang Feng et al.,B_trajectory_optimization
2602.21174,Efficient Hierarchical Any-Angle Path Planning on Multi-Resolution 3D Grids,2026,Victor Reijgwart et al.,H_hierarchical_planning
2603.00694,Wild-Drive: Off-Road Scene Captioning and Path Planning via Robust Multi-modal Routing and Efficient Large Language Model,2026,Zihang Wang et al.,O_dense_forest_narrow_passage
2603.03514,Sampling-Based Motion Planning with Scene Graphs Under Perception Constraints,2026,Qingxi Meng et al.,Q_informed_sampling
2603.04284,OmniPlanner: Universal Exploration and Inspection Path Planning across Robot Morphologies,2026,Angelos Zacharia et al.,J_homotopy_topology
2603.04463,GAIDE: Graph-based Attention Masking for Spatial- and Embodiment-aware Motion Planning,2026,Davood Soleymanzadeh et al.,N_path_repair;Q_informed_sampling
2603.04547,Many-RRT*: Robust Joint-Space Trajectory Planning for Serial Manipulators,2026,Theodore M. Belmont et al.,D_asymptotically_optimal_sampling
2603.06924,LIPP: Load-Aware Informative Path Planning with Physical Sampling,2026,Hojune Kim et al.,J_homotopy_topology;Q_informed_sampling
2603.10330,PC-Diffuser: Path-Consistent Capsule CBF Safety Filtering for Diffusion-Based Trajectory Planner,2026,Eugene Ku et al.,L_learning_path_optimization
2603.11074,DRAFTO: Decoupled Reduced-space and Adaptive Feasibility-repair Trajectory Optimization for Robotic Manipulators,2026,Yichang Feng et al.,B_trajectory_optimization
2603.11658,"Coupling Tensor Trains with Graph of Convex Sets: Effective Compression, Exploration, and Planning in the C-Space",2026,Gerhard Reinerth et al.,I_corridor_planning
2603.12361,GNN-DIP: Neural Corridor Selection for Decomposition-Based Motion Planning,2026,Peng Xie et al.,I_corridor_planning;O_dense_forest_narrow_passage
2603.13748,Multi-Robot Coordination for Planning under Context Uncertainty,2026,Pulkit Rustagi et al.,G_subgoal_optimization
2603.21880,Optimal Solutions for the Moving Target Vehicle Routing Problem with Obstacles via Lazy Branch and Price,2026,Anoop Bhat et al.,I_corridor_planning
2603.22508,Parallel OctoMapping: A Scalable Framework for Enhanced Path Planning in Autonomous Navigation,2026,Yihui Mao et al.,H_hierarchical_planning
2603.25462,Temporally Decoupled Diffusion Planning for Autonomous Driving,2026,Xiang Li et al.,L_learning_path_optimization
2603.26684,Decoupling Geometric Planning and Execution in Scalable Multi-Agent Path Finding,2026,Fernando Salanova et al.,H_hierarchical_planning
2603.26696,Topological Motion Planning Diffusion: Generative Tangle-Free Path Planning for Tethered Robots in Obstacle-Rich Environments,2026,Yifu Tian et al.,J_homotopy_topology
2604.02821,Goal-Conditioned Neural ODEs with Guaranteed Safety and Stability for Learning-Based All-Pairs Motion Planning,2026,Dechuan Liu et al.,I_corridor_planning
2604.07599,SANDO: Safe Autonomous Trajectory Planning for Dynamic Unknown Environments,2026,Kota Kondo et al.,I_corridor_planning;O_dense_forest_narrow_passage
2604.15076,NEAT-NC: NEAT guided Navigation Cells for Robot Path Planning,2026,Hibatallah Meliani et al.,J_homotopy_topology
2604.19148,Multi-Step Gaussian Process Propagation for Adaptive Path Planning,2026,Alex Beaudin et al.,G_subgoal_optimization;Q_informed_sampling
2604.22196,V-STC: A Time-Efficient Multi-Vehicle Coordinated Trajectory Planning Approach,2026,Pengfei Liu et al.,I_corridor_planning
2605.01996,Optimized and kinematically feasible multi-agent motion planning,2026,Anja Hellander et al.,F_hybrid_astar
2605.07215,PISTO: Proximal Inference for Stochastic Trajectory Optimization,2026,Hongzhe Yu et al.,B_trajectory_optimization
2605.07370,MORPH-U: Multi-Objective Resilient Motion Planning for V2X-Enabled Autonomous Driving in High-Uncertainty Environments via Simulation,2026,Shih-Yu Lai,M_multi_objective_planning
2605.14199,Motion Planning for Autonomous Vehicles using Optimization over Graphs of Convex Sets,2026,Matheus Wagner et al.,I_corridor_planning
2605.15999,Constrained MPC-Based Motion Planning for Morphing Quadrotors in Ultra-Narrow Passages under Limited Perception,2026,Harsh Modi et al.,I_corridor_planning;O_dense_forest_narrow_passage
2605.16863,"Plan First, Diffuse Later: Extrinsic Graph Guidance for Long-Horizon Diffusion Planning",2026,Yaniv Hassidof et al.,L_learning_path_optimization
2605.19958,TravExplorer: Cross-Floor Embodied Exploration via Traversability-Aware 3-D Planning,2026,Han Zheng et al.,G_subgoal_optimization
